ODS_CODE,Trust_Name,NHS_Region,ICB_Name,Total_Cost_GBP,Total_Qty_mL,Total_Vials,Months_Active,First_Month,Last_Month,Trust_Postcode,Avg_Monthly_Cost,Cost_Rank
RW5,Northern Care Alliance NHS Foundation Trust,North West,Unknown ICB,1371.33,170.0,11.0,6,2019-04-01,2022-06-01,M6 8HD,229.0,157
RBZ,NORTHERN DEVON HEALTHCARE NHS TRUST,South West,Unknown ICB,1154.58,144.0,18.0,7,2019-12-01,2022-03-01,EX31 4JB,165.0,158
RV3,Central and North West London NHS Foundation Trust,London,Unknown ICB,1020.88,130.0,7.0,4,2020-10-01,2024-09-01,NW1 3AX,255.0,159
RAN,ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,London,Unknown ICB,955.0,100.0,10.0,5,2020-02-01,2025-02-01,HA7 4LP,191.0,160
RTQ,Sandwell and West Birmingham Hospitals NHS Trust,Midlands,Unknown ICB,925.3799999999999,120.0,6.0,3,2024-01-01,2024-03-01,B71 4HJ,308.0,161
R1C,SOLENT NHS TRUST,South East,Unknown ICB,859.5,90.0,9.0,4,2021-03-01,2024-03-01,SO19 8BR,215.0,162
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,East of England,Unknown ICB,633.16,74.0,15.0,4,2021-05-01,2025-11-01,PE27 4LG,158.0,163
RP1,Gloucestershire Health and Care NHS Foundation Trust,South West,Unknown ICB,631.73,70.0,6.0,2,2024-02-01,2024-11-01,GL1 3NN,316.0,164
RXV,Greater Manchester Mental Health NHS Foundation Trust,North West,Unknown ICB,616.92,80.0,4.0,4,2019-05-01,2020-10-01,M25 3BL,154.0,165
RD3,Unknown Trust,North East & Yorkshire,Unknown ICB,544.35,60.0,6.0,2,2019-09-01,2019-12-01,DN15 7BH,272.0,166
RGM,Unknown Trust,East of England,Unknown ICB,308.46,40.0,2.0,2,2020-12-01,2021-06-01,CB23 8EE,154.0,167
RY9,HOUNSLOW AND RICHMOND COMMUNITY HEALTHCARE NHS TRUST,London,Unknown ICB,191.0,20.0,2.0,1,2025-11-01,2025-11-01,TW11 8HU,191.0,168
RWV,DEVON PARTNERSHIP NHS TRUST,South West,Unknown ICB,154.23,20.0,1.0,1,2025-04-01,2025-04-01,EX2 5AF,154.0,169
RXT,Birmingham and Solihull Mental Health NHS Foundation Trust,Midlands,Unknown ICB,154.23,20.0,1.0,1,2021-03-01,2021-03-01,B15 2FG,154.0,169
RT2,Pennine Care NHS Foundation Trust,North West,Unknown ICB,95.5,10.0,1.0,1,2025-11-01,2025-11-01,OL6 7SR,96.0,171
RCU,Sheffield Children's NHS Foundation Trust,North East & Yorkshire,Unknown ICB,95.5,10.0,1.0,1,2023-05-01,2023-05-01,S10 2TH,96.0,171
RAT,Unknown Trust,South East,Unknown ICB,95.5,10.0,5.0,1,2020-05-01,2020-05-01,TN24 0LZ,96.0,171
RRE,Sheffield Health and Social Care NHS Foundation Trust,North East & Yorkshire,Unknown ICB,64.94,8.0,4.0,1,2019-08-01,2019-08-01,S10 2JF,65.0,174
